time_original,well,OD,isolate,well,hh,mm,ss,time_h
1:30:00,A2,0.1604,ATT 3A4,A2,1,30,0,1.5
1:45:00,A2,0.1477,ATT 3A4,A2,1,45,0,1.75
2:00:00,A2,0.148,ATT 3A4,A2,2,0,0,2
2:15:00,A2,0.1525,ATT 3A4,A2,2,15,0,2.25
2:30:00,A2,0.1473,ATT 3A4,A2,2,30,0,2.5
2:45:00,A2,0.1473,ATT 3A4,A2,2,45,0,2.75
3:00:00,A2,0.1468,ATT 3A4,A2,3,0,0,3
3:15:00,A2,0.1466,ATT 3A4,A2,3,15,0,3.25
3:30:00,A2,0.1467,ATT 3A4,A2,3,30,0,3.5
3:45:00,A2,0.1478,ATT 3A4,A2,3,45,0,3.75
4:00:00,A2,0.146,ATT 3A4,A2,4,0,0,4
4:15:00,A2,0.1457,ATT 3A4,A2,4,15,0,4.25
4:30:00,A2,0.1451,ATT 3A4,A2,4,30,0,4.5
4:45:00,A2,0.1449,ATT 3A4,A2,4,45,0,4.75
5:00:00,A2,0.1448,ATT 3A4,A2,5,0,0,5
5:15:00,A2,0.1446,ATT 3A4,A2,5,15,0,5.25
5:30:00,A2,0.144,ATT 3A4,A2,5,30,0,5.5
5:45:00,A2,0.1445,ATT 3A4,A2,5,45,0,5.75
6:00:00,A2,0.1439,ATT 3A4,A2,6,0,0,6
6:15:00,A2,0.1435,ATT 3A4,A2,6,15,0,6.25
6:30:00,A2,0.1438,ATT 3A4,A2,6,30,0,6.5
6:45:00,A2,0.1441,ATT 3A4,A2,6,45,0,6.75
7:00:00,A2,0.145,ATT 3A4,A2,7,0,0,7
7:15:00,A2,0.1446,ATT 3A4,A2,7,15,0,7.25
7:30:00,A2,0.1447,ATT 3A4,A2,7,30,0,7.5
7:45:00,A2,0.1456,ATT 3A4,A2,7,45,0,7.75
8:00:00,A2,0.146,ATT 3A4,A2,8,0,0,8
8:15:00,A2,0.1471,ATT 3A4,A2,8,15,0,8.25
8:30:00,A2,0.1474,ATT 3A4,A2,8,30,0,8.5
8:45:00,A2,0.1486,ATT 3A4,A2,8,45,0,8.75
9:00:00,A2,0.1493,ATT 3A4,A2,9,0,0,9
9:15:00,A2,0.1497,ATT 3A4,A2,9,15,0,9.25
9:30:00,A2,0.152,ATT 3A4,A2,9,30,0,9.5
9:45:00,A2,0.1538,ATT 3A4,A2,9,45,0,9.75
10:00:00,A2,0.1564,ATT 3A4,A2,10,0,0,10
10:15:00,A2,0.1598,ATT 3A4,A2,10,15,0,10.25
10:30:00,A2,0.1629,ATT 3A4,A2,10,30,0,10.5
10:45:00,A2,0.1664,ATT 3A4,A2,10,45,0,10.75
11:00:00,A2,0.1693,ATT 3A4,A2,11,0,0,11
